118.25.185.127:8443#JP [47.07ms 0.86Mbps]
2.27.132.160:8443#HK [54.22ms 2.94Mbps]
116.62.243.62:443#CN [55.55ms 1.15Mbps]
120.26.92.186:8443#CN [56.42ms 0.0Mbps]
23.141.12.134:8443#HK [58.87ms 0.42Mbps]
205.189.160.50:443#HK [60.79ms 0.0Mbps]
185.92.47.93:443#HK [62.32ms 0.32Mbps]
156.226.169.122:443#HK [65.08ms 0.14Mbps]
64.120.121.89:2053#HK [65.35ms 0.03Mbps]
43.247.134.129:443#HK [66.06ms 2.98Mbps]
45.207.156.146:443#HK [66.84ms 3.84Mbps]
45.149.186.55:443#HK [67.1ms 3.0Mbps]
54.180.141.246:443#KR [67.32ms 1.35Mbps]
45.202.247.198:443#MO [67.69ms 0.0Mbps]
45.221.113.58:8443#HK [67.73ms 5.91Mbps]
45.131.179.106:8443#US [68.33ms 6.91Mbps]
43.169.18.179:443#NL [68.86ms 3.1Mbps]
3.37.245.168:443#KR [优选高速 69.46ms 13.31Mbps]
43.155.221.27:8443#KR [优选高速 70.24ms 9.62Mbps]
43.164.134.99:443#KR [72.17ms 0.0Mbps]
207.56.137.174:443#TW [74.21ms 0.26Mbps]
82.22.26.141:2053#US [75.43ms 0.26Mbps]
124.156.215.193:443#JP [79.48ms 2.3Mbps]
83.147.13.193:443#TW [79.68ms 1.53Mbps]
151.242.189.162:443#TW [79.77ms 2.24Mbps]
43.167.11.157:2083#JP [80.39ms 7.79Mbps]
45.202.254.133:443#JP [81.38ms 2.78Mbps]
43.165.189.163:443#JP [81.62ms 0.14Mbps]
172.237.0.160:443#JP [81.67ms 6.81Mbps]
43.165.191.60:443#JP [84.31ms 0.29Mbps]
172.237.5.76:443#JP [84.83ms 0.42Mbps]
147.79.20.177:443#JP [85.06ms 3.42Mbps]
18.179.10.27:8443#JP [85.11ms 3.9Mbps]
157.66.26.194:443#VN [86.5ms 2.55Mbps]
83.147.15.253:443#TW [优选高速 87.95ms 8.08Mbps]
13.124.169.29:443#KR [88.42ms 3.45Mbps]
